52	16	231	0
670	7	407	0
826	40	66	0
408	139	407	0
888	33	1	0
318	53	812	0
61	72	0	0
66	18	2129	0
246	55	9	0
1641	1	643	0
0	47	3	0
202	8	201	0
1890	61	23	0
22	9	23	0
3352	9	169	0
231	14	65	0
2129	8	3596	0
23	3	3348	0
3	43	66	0
47	0	861	0
222	2	161	0
35	74	3557	0
3557	0	35	0
408	61	407	0
1061	8	3	0
61	34	0	0
24	116	41	0
72	3	31	0
3558	23	9	0
1264	8	163	0
2946	3	2784	0
4653	1	2	0
1121	3	4726	0
90	128	4	0
2	9	4788	0
373	5	2312	0
161	2	222	0
231	16	52	0
559	1	2	0
87	128	18	0
261	43	3	0
2193	25	866	0
408	79	308	0
312	4	89	0
508	35	641	0
421	3	261	0
369	3	112	0
1063	54	163	0
53	2	18	0
2129	14	66	0
1922	0	533	0
509	22	508	0
1893	9	869	0
446	8	999	0
1578	1	2	0
670	54	864	0
2008	8	5881	0
658	8	2	0
214	9	3167	0
52	1	194	0
459	9	5498	0
61	14	1	0
521	54	261	0
639	3	407	0
533	78	35	0
22	32	23	0
2193	9	866	0
22	65	23	0
2354	0	2192	0
163	54	1063	0
887	40	2	0
446	3	540	0
58	5	459	0
566	163	54	0
18	2	53	0
373	8	166	0
61	33	1	0
3	47	0	0
41	35	6455	0
41	152	24	0
6559	9	869	0
72	3	552	0
373	5	4485	0
0	23	3	0
1	5	1110	0
6655	4	6656	0
1115	8	2339	0
326	9	448	0
22	54	991	0
552	1	643	0
315	7	163	0
4	128	90	0
312	4	9	0
488	9	635	0
1	31	5717	0
22	9	37	0
110	9	513	0
337	8	124	0
353	1	827	0
509	44	508	0
2354	0	5808	0
65	1	231	0
246	9	9	0
285	8	24	0
65	18	231	0
552	27	294	0
1	18	61	0
9	0	256	0
197	3	869	0
36	3	1270	0
40	10	13	0
209	9	635	0
6655	4	3575	0
908	103	384	1
932	2	1068	1
257	6	643	1
1641	22	643	1
1712	9	1713	1
166	6	3	1
161	8	131	1
2312	65	40	1
2383	5	866	1
422	2	90	1
2509	10	1435	1
13	0	104	1
0	0	1077	1
9	3	1964	1
603	1	1213	1
3	18	790	1
181	8	224	1
408	1	308	1
54	10	143	1
422	14	52	1
3115	3	24	1
177	52	866	1
177	8	159	1
3166	9	3167	1
3186	8	54	1
3188	5	2014	1
869	13	603	1
849	3	3076	1
222	2	161	1
259	13	13	1
61	34	0	1
1213	8	603	1
805	8	308	1
1242	5	1193	1
293	58	699	1
52	18	422	1
412	9	13	1
197	3	869	1
3	6	166	1
355	9	811	1
857	8	1446	1
1530	7	878	1
231	2	52	1
111	32	493	1
408	178	738	1
326	9	448	1
377	9	56	1
90	2	422	1
65	1	122	1
955	47	3	1
3	5	1	1
2154	9	1530	1
224	8	104	1
1583	10	124	1
1920	32	68	1
2193	25	260	1
376	8	318	1
2026	5	352	1
59	0	25	1
552	14	643	1
111	66	112	1
731	8	1327	1
3388	8	89	1
104	23	2479	1
1046	8	104	1
194	18	65	1
22	32	23	1
54	8	143	1
407	20	308	1
65	6	231	1
104	43	13	1
1042	3	13	1
1068	2	932	1
549	7	13	1
141	65	5152	1
87	48	2	1
